-120, -6.000000, 0, 837.954651, 41.897732 
-120, -6.000000, 0, 840.383606, 42.019180 
1270, -120, -106.116939, 0, 500.088287, 257.204071 
1280, -120, -103.024296, 0, 1151.408569, 352.534271 
1290, -120, -98.314003, 0, 1165.708740, 328.290009 
1300, -120, -95.488008, 0, 887.699524, 317.459534 
1310, 10, -94.805925, 0, 184.894455, 279.445068 
1320, -120, -92.869466, 0, 78.739487, 259.213104 
1330, -120, -93.250456, 0, 480.087433, 296.287628 
1340, -120, -94.106923, 0, 54.515575, 297.434357 
1350, -120, -99.810648, 0, 303.727203, 305.844879 
1360, -120, -100.846264, 0, 43.415817, 229.566711 
1370, -120, -104.095327, 0, 87.533165, 182.558105 
1380, -120, -106.025384, 0, 140.306625, 175.168655 
1390, -120, -106.170381, 0, 238.485092, 193.115692 
1400, -120, -106.789790, 0, 78.131882, 223.903320 
1410, -120, -107.446616, 0, 150.524765, 263.951904 
1420, -120, -102.409736, 0, 75.271919, 246.910339 
1430, -5, -103.718059, 0, 39.989353, 229.466888 
1440, -5, -98.747963, 0, 70.362625, 246.921036 
1450, -120, -88.770781, 0, 186.810547, 188.831863 
1460, -120, -97.286474, 0, 124.477364, 326.216461 
1470, 7, -93.648846, 0, 387.608063, 299.262390 
1480, -120, -104.222591, 0, 171.585037, 244.964172 
1490, 13, -94.087853, 0, 146.004623, 213.297226 
1500, 1, -92.105441, 0, 120.878960, 271.078461 
1510, -5, -97.548497, 0, 111.351624, 263.035522 
1520, -120, -101.319926, 0, 197.883774, 234.428085 
1530, 1, -92.836804, 0, 83.927361, 220.349380 
1540, -120, -103.736391, 0, 107.773354, 257.604370 
1550, -120, -100.636953, 0, 87.265831, 253.113632 
1560, -120, -93.938366, 0, 103.522545, 242.893082 
1570, -120, -98.339687, 0, 72.869911, 231.975143 
1580, -120, -98.027128, 0, 136.025833, 200.467987 
1590, -5, -80.229531, 0, 152.983566, 220.872955 
1600, -120, -86.155210, 0, 186.031494, 381.821228 
1610, 1, -83.472085, 0, 41.750725, 314.540924 
1620, -120, -83.161117, 0, 166.555420, 254.890076 
1630, -120, -97.943200, 0, 158.177429, 197.086914 
1640, -120, -101.817435, 0, 735.675293, 251.917511 
1650, -120, -98.119232, 0, 74.175301, 235.938095 
1660, -120, -91.490065, 0, 237.219040, 265.366394 
1670, -120, -97.464283, 0, 497.734131, 298.030090 
1680, -120, -93.539019, 0, 30.485670, 284.832977 
1690, -120, -95.420019, 0, 86.048798, 279.418121 
1700, -120, -105.283058, 0, 82.400597, 273.088501 
1710, -120, -104.122798, 0, 62.640614, 205.853287 
1720, 7, -84.003712, 0, 146.378036, 289.262238 
1730, -120, -81.277720, 0, 862.723572, 448.765228 
1740, -120, -87.916104, 0, 437.288239, 371.401886 
1750, 7, -89.480997, 0, 229.757004, 364.660034 
1760, -120, -77.700846, 0, 145.483307, 300.381989 
1770, -120, -89.342133, 0, 100.634727, 352.695190 
1780, -120, -101.644003, 0, 230.224960, 297.086517 
1790, -120, -100.108583, 0, 309.339264, 365.468475 
1800, -120, -101.737149, 0, 531.837585, 363.706055 
1810, -120, -98.965479, 0, 742.300476, 341.904053 
1820, -120, -98.242279, 0, 65.593193, 285.783508 
1830, -120, -98.074645, 0, 115.645195, 271.976288 
1840, 20, -87.279754, 0, 1184.607910, 297.003876 
1850, -120, -96.588293, 0, 122.308495, 273.321014 
1860, -120, -86.606496, 0, 124.554955, 242.981293 
1870, -120, -94.534670, 0, 83.279495, 216.818756 
1880, 13, -89.243696, 0, 130.148788, 190.932281 
1890, -120, -97.351395, 0, 103.987061, 200.038239 
1900, 16, -91.382325, 0, 847.049988, 406.227875 
1910, -120, -83.801847, 0, 64.932678, 378.873016 
1920, -120, -88.194198, 0, 206.631958, 369.798767 
0, -120, -6.000000, 0, 105.645744, 5.282287 
10, -120, -51.743989, 0, 177.244995, 84.487129 
20, -120, -79.132605, 0, 65.538795, 114.882202 
30, -120, -85.959409, 0, 106.033989, 173.823868 
40, -120, -90.199385, 0, 735.537598, 297.559113 
50, -120, -86.779839, 0, 191.708176, 255.875626 
60, -120, -94.536925, 0, 139.664917, 225.264709 
70, -120, -100.215124, 0, 44.659927, 227.591934 
80, -120, -108.154064, 0, 120.634399, 210.722107 
90, -120, -93.692493, 0, 319.507507, 303.467804 
100, -120, -89.564335, 0, 93.986122, 328.486389 
110, 10, -86.062579, 0, 136.763870, 258.121613 
120, -120, -90.397026, 0, 166.708710, 312.808044 
130, -120, -91.328133, 0, 61.851696, 315.800598 
140, -120, -102.833094, 0, 320.915375, 300.751099 
150, -120, -105.272299, 0, 814.966370, 300.127808 
160, 13, -95.073819, 0, 76.275406, 233.281494 
